ip,city,region,country,loc,timezone,country_name,latitude,longitude,org,hostname,postal,bogon
190.40.142.14,Lima,Lima,PE,"-12.0432,-77.0282",America/Lima,Peru,-12.0432,-77.0282,AS6147 Telefonica del Peru S.A.A.,client-190.40.142.14.speedy.net.pe,15001,
190.46.45.204,Quillota,Valparaíso,CL,"-32.8834,-71.2488",America/Santiago,Chile,-32.8834,-71.2488,AS22047 VTR BANDA ANCHA S.A.,pc-204-45-46-190.cm.vtr.net,2260000,
190.56.254.235,Guatemala City,Guatemala,GT,"14.6407,-90.5133",America/Guatemala,Guatemala,14.6407,-90.5133,AS14754 Telgua,235.254.56.190.static.intelnet.net.gt,01001,
190.75.70.247,San Cristóbal,Táchira,VE,"7.7669,-72.2250",America/Caracas,Venezuela,7.7669,-72.2250,"AS8048 CANTV Servicios, Venezuela",190.75-70-247.dyn.dsl.cantv.net,,
190.88.176.120,Willemstad,Curacao,CW,"12.1084,-68.9335",America/Curacao,Curacao,12.1084,-68.9335,AS11081 United Telecommunication Services (UTS),sub-190-88-176ip120.rev.onenet.cw,,
190.91.95.13,Santiago,Santiago Metropolitan,CL,"-33.4569,-70.6483",America/Santiago,Chile,-33.4569,-70.6483,AS27925 Entel PCS Telecomunicaciones S.A.,client-190-91-95-13.imovil.entelpcs.cl,8320000,
190.98.216.76,Santiago,Santiago Metropolitan,CL,"-33.4569,-70.6483",America/Santiago,Chile,-33.4569,-70.6483,AS14259 Gtd Internet S.A.,,8320000,
192.145.238.10,Los Angeles,California,US,"34.0522,-118.2437",America/Los_Angeles,United States,34.0522,-118.2437,"AS22611 InMotion Hosting, Inc.",,90009,
192.185.4.74,Houston,Texas,US,"29.7633,-95.3633",America/Chicago,United States,29.7633,-95.3633,AS46606 Unified Layer,gator4063.hostgator.com,77002,
192.185.81.94,Houston,Texas,US,"29.7633,-95.3633",America/Chicago,United States,29.7633,-95.3633,AS46606 Unified Layer,catera.websitewelcome.com,77002,
192.185.83.114,Houston,Texas,US,"29.7633,-95.3633",America/Chicago,United States,29.7633,-95.3633,AS46606 Unified Layer,luv.websitewelcome.com,77002,
192.187.116.234,Kansas City,Missouri,US,"39.0997,-94.5786",America/Chicago,United States,39.0997,-94.5786,"AS33387 Nocix, LLC",,64170,
192.4.0.12,Basking Ridge,New Jersey,US,"40.7062,-74.5493",America/New_York,United States,40.7062,-74.5493,"AS54735 TT Government Solutions, Inc.",,07920,
192.81.215.7,North Bergen,New Jersey,US,"40.8043,-74.0121",America/New_York,United States,40.8043,-74.0121,"AS14061 DigitalOcean, LLC",241904.cloudwaysapps.com,07047,
192.95.12.31,Montréal,Quebec,CA,"45.5088,-73.5878",America/Toronto,Canada,45.5088,-73.5878,AS16276 OVH SAS,ip31.ip-192-95-12.net,H3H,
192.95.21.13,Montréal,Quebec,CA,"45.5088,-73.5878",America/Toronto,Canada,45.5088,-73.5878,AS16276 OVH SAS,ip13.ip-192-95-21.net,H3H,
192.96.204.42,Washington,"Washington, D.C.",US,"38.8951,-77.0364",America/New_York,United States,38.8951,-77.0364,"AS30633 Leaseweb USA, Inc.",,20004,
192.99.15.56,Montréal,Quebec,CA,"45.5040,-73.5747",America/Toronto,Canada,45.5040,-73.5747,AS16276 OVH SAS,pve01-ca.fwdc.com.br,H3A,
193.111.141.116,,,,"0.0000,0.0000",,,0.0000,0.0000,,,,
193.111.141.134,,,,"0.0000,0.0000",,,0.0000,0.0000,,,,
193.111.141.44,,,,"0.0000,0.0000",,,0.0000,0.0000,,,,
193.111.141.52,,,,"0.0000,0.0000",,,0.0000,0.0000,,,,
193.111.141.54,,,,"0.0000,0.0000",,,0.0000,0.0000,,,,
193.144.127.13,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS766 Entidad Publica Empresarial Red.es,,28001,
193.145.201.52,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS766 Entidad Publica Empresarial Red.es,,28001,
193.147.239.254,Madrid,Madrid,ES,"40.3569,-3.9001",Europe/Madrid,Spain,40.3569,-3.9001,AS766 Entidad Publica Empresarial Red.es,,28679,
193.148.98.2,Alcobendas,Madrid,ES,"40.5475,-3.6420",Europe/Madrid,Spain,40.5475,-3.6420,AS49576 RED ELECTRICA DE ESPANA S.A.U.,,28100,
193.150.120.33,London,England,GB,"51.5085,-0.1257",Europe/London,United Kingdom,51.5085,-0.1257,AS61317 IPXO UK LIMITED,,EC1A,
193.152.211.24,Tarragona,Catalonia,ES,"41.1167,1.2500",Europe/Madrid,Spain,41.1167,1.2500,AS3352 TELEFONICA DE ESPANA,24.red-193-152-211.dynamicip.rima-tde.net,43004,
193.153.206.67,Gijón,Asturias,ES,"43.5646,-5.9652",Europe/Madrid,Spain,43.5646,-5.9652,AS3352 TELEFONICA DE ESPANA,67.red-193-153-206.dynamicip.rima-tde.net,33457,
193.153.53.10,Santa Cruz de Tenerife,Canary Islands,ES,"28.4682,-16.2546",Atlantic/Canary,Spain,28.4682,-16.2546,AS3352 TELEFONICA DE ESPANA,10.red-193-153-53.dynamicip.rima-tde.net,38001,
193.162.26.10,Taastrup,Capital Region,DK,"55.6501,12.3016",Europe/Copenhagen,Denmark,55.6501,12.3016,AS49362 DSV Panalpina A/S,,2630,
193.192.58.164,Frankfurt am Main,Hesse,DE,"50.1155,8.6842",Europe/Berlin,Germany,50.1155,8.6842,AS56876 Ociris GmbH,,60306,
193.240.44.31,London,England,GB,"51.5085,-0.1257",Europe/London,United Kingdom,51.5085,-0.1257,"AS3549 Level 3 Parent, LLC",,EC1A,
193.251.181.189,Liévin,Hauts-de-France,FR,"50.4198,2.7807",Europe/Paris,France,50.4198,2.7807,AS3215 Orange S.A.,lstlambert-658-1-14-189.w193-251.abo.wanadoo.fr,62800,
193.33.2.101,Madrid,Madrid,ES,"40.4165,-3.7026",Europe/Madrid,Spain,40.4165,-3.7026,AS42211 Ministerio de Defensa,ip-193-33-2-101.mde.es,28001,
